category,access,year,title,journal,doi,pmid,pmcid,entry_url,notes,path,pages,bytes,sha256
儿童,全文,2026,"Coronary artery anomalies in children: subtype classification, age of onset, clinical outcomes, and prognostic implications",BMC Pediatrics,10.1186/s12887-026-06574-3,41772489,PMC13059392,https://pmc.ncbi.nlm.nih.gov/articles/PMC13059392/,儿童冠脉异常混合队列，82 例；ARCA-LS 35 例，另含 ALCAPA、ALCA-RS 等亚型，对 AAORCA 的针对性有限。,papers/pediatric/fulltext/2026_Liu_Children_Coronary_Anomalies_82.pdf,12,1404672,203a01b687ca68bea9dfe3c6f15eca3f6ebb53a713680ba4c783fe9095ad54d7
儿童,全文,2026,Exercise Habits and BMI in Pediatric Patients with Anomalous Aortic Origin of Coronary Arteries,Children,10.3390/children13070948,42509973,PMC13406908,https://pmc.ncbi.nlm.nih.gov/articles/PMC13406908/,Texas Children's 单中心横断面研究，573 名不超过 20 岁的 AAOCA 患者；重点分析运动习惯与 BMI。,papers/pediatric/fulltext/2026_Przybycien_Exercise_Habits_BMI_573_Pediatric_AAOCA.pdf,10,649600,3354413da98cb01e4c419c06ed20feeab3d278a46259d5a9fae7d53e42927bb1
儿童,全文,2026,Risk stratification and real-world management of pediatric AAORCA: discordance between anatomical features and clinical symptoms,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2026.1876090,42529223,PMC13416429,https://pmc.ncbi.nlm.nih.gov/articles/PMC13416429/,儿童 AAORCA 单中心队列，151 例。,papers/pediatric/fulltext/2026_Yu_Pediatric_AAORCA_Risk_Stratification.pdf,10,671476,d29299373d7fdc68556464145b1e7cad2d8f2d96be04bbae977deac49a30bfc8
儿童,全文-reference,2026,Single-center clinical analysis of anomalous aortic origin of a coronary artery (AAOCA) in children: a multimodal imaging approach to risk stratification,Journal of Cardiothoracic Surgery,10.1186/s13019-026-04667-9,,,https://doi.org/10.1186/s13019-026-04667-9,儿童队列，58 例；出版社 Article in Press/reference 全文。,papers/pediatric/fulltext/2026_Wang_Pediatric_AAOCA_Multimodal_Imaging_reference.pdf,22,4989378,1857dc200bc2aea42c6db0b61430ac17651ff5df2567927a77714f58f0db352f
儿童,全文,2026,Surgical Outcomes of anomalous aortic origin of coronary arteries: early and mid-term results from a single-center experience,BMC Pediatrics,10.1186/s12887-026-06746-1,,,https://doi.org/10.1186/s12887-026-06746-1,儿童外科队列，17 例。,papers/pediatric/fulltext/2026_Cao_Pediatric_AAOCA_Surgical_Outcomes.pdf,7,1514856,07cb5fd4bd9eca18fddaf296f1dd9cb379e6540a0b66e686a4e31845ef2011d1
儿童,全文,2026,Surgical Results for Anomalous Aortic Origin of Coronary Artery - Is Right Side Prompt Surgery Necessary?,Circulation Journal,10.1253/circj.CJ-25-0097,40958550,,https://doi.org/10.1253/circj.CJ-25-0097,儿童外科队列，34 例；AAORCA 占 94.1%，32 例行去顶术；手术中位年龄 13.4 岁。,papers/pediatric/fulltext/2026_Yun_Pediatric_AAOCA_Surgical_Results_Korea.pdf,10,1415645,0b67b39d1ffd95638998eb09c6f18b1223553faa116fe8cccae015c9b88fdafa
儿童,全文,2025,Exercise stress cardiovascular magnetic resonance imaging is feasible in adolescents and young adults with anomalous coronary arteries,Journal of Cardiovascular Magnetic Resonance,10.1016/j.jocmr.2025.101944,40846281,PMC12766598,https://pmc.ncbi.nlm.nih.gov/articles/PMC12766598/,儿童与青年 AAOCA 运动负荷 CMR 可行性研究，38 例（右冠型 28 例），年龄 13–24 岁，中位 16 岁；卧式踏车运动后即刻灌注成像。,papers/pediatric/fulltext/2025_Carter_Exercise_Stress_CMR_AAOCA.pdf,9,904460,b485627dd017e2fb8a735451ed4f58b6d57c2a1cb1c615d934bee30c29a1965d
儿童,全文,2025,Right Axillary Thoracotomy for Anomalous Aortic Origin of a Coronary Artery in Children,Congenital Heart Disease,10.32604/chd.2026.076517,,,https://doi.org/10.32604/chd.2026.076517,儿童右腋下开胸病例系列，12 例；按正式卷期年份 2025 归档。,papers/pediatric/fulltext/2025_Li_Pediatric_AAOCA_Right_Axillary_Thoracotomy.pdf,10,1813159,bcdd8a8f44fd8eff1ee8fee60640260354be733c90410c7534d9a1a877687296
儿童,全文,2025,Surgical treatment of anomalous aortic origin of the coronary artery in paediatric patients: a Chinese single-center experience,BMC Surgery,10.1186/s12893-025-02781-4,,,https://doi.org/10.1186/s12893-025-02781-4,儿童外科队列，27 例。,papers/pediatric/fulltext/2025_Luo_Pediatric_AAOCA_Surgery_China.pdf,8,1625607,bce5d4ccfe0a4151fe09d7d4da01f7f3bdc1db54f75de787fca78da549b16de8
儿童,全文-预印本,2024,Fluid-structure interaction simulations for the prediction of fractional flow reserve in pediatric patients with anomalous aortic origin of a coronary artery,arXiv preprint,,,,https://arxiv.org/abs/2405.01703,儿童 FSI/FFR 建模；完整预印本，不是期刊最终版。,papers/pediatric/fulltext/2024_Puelz_Pediatric_AAOCA_FFR_Preprint.pdf,14,5038479,c4f1dce74fe190e4c2d73bcf424a41356eb4c40709d855275336cffa699b6247
儿童,全文,2023,Anomalous right coronary artery originating from the aorta: a series of nine pediatric cases,BMC Pediatrics,10.1186/s12887-023-04377-4,,,https://doi.org/10.1186/s12887-023-04377-4,儿童 ARCA-L 病例系列，9 例。,papers/pediatric/fulltext/2023_Na_9_Pediatric_ARCA_Cases.pdf,9,2006372,47ce389f656a3b111d6dfc28622cb0c50dd6e5f3c74532836cc40cd3bb7465ad
儿童,全文,2023,Clinical analysis of sixty-nine children with anomalous aortic origin of the coronary artery,European Journal of Pediatrics,10.1007/s00431-023-05075-0,,,https://doi.org/10.1007/s00431-023-05075-0,儿童队列，69 例。,papers/pediatric/fulltext/2023_Zhen_69_Children_AAOCA.pdf,9,1014284,d6d8607bd6c48aaf7dad30e8753a11c7cc1b8b89d05a127d54ec042ab05a41be
儿童,全文,2022,Congenital Anomalous Origin of Coronary Artery Disease in Children With Syncope: A Case Series,Frontiers in Pediatrics,10.3389/fped.2022.879753,,,https://doi.org/10.3389/fped.2022.879753,儿童晕厥病例系列，8 例。,papers/pediatric/fulltext/2022_Gao_Children_Syncope_Case_Series.pdf,7,1365603,4c17be48382baaf1659d251f081e4cb6b18770c381153239e44cc05add0e3adf
儿童,全文,2022,Surgery for Anomalous Aortic Origin of a Coronary Artery (AAOCA) in Children and Adolescents: A Meta-Analysis,World Journal for Pediatric and Congenital Heart Surgery,10.1177/21501351221095424,,,https://doi.org/10.1177/21501351221095424,儿童、青少年和 30 岁以下青年外科荟萃分析。,papers/pediatric/fulltext/2022_Ponzoni_Pediatric_AAOCA_Meta_Analysis.pdf,10,1114125,86ad8963ac782e4fe68055abc36a5417aa179a0e3625de3994150c04e9552c73
儿童,全文,2020,Anomalous aortic origin of a coronary artery in two children,Asian Cardiovascular & Thoracic Annals,10.1177/0218492319870614,,,https://doi.org/10.1177/0218492319870614,2 例儿童心搏骤停后确诊并接受去顶术。,papers/pediatric/fulltext/2020_Hosoda_Two_Pediatric_AAOCA_Cases.pdf,4,1231937,14d98310ad080f8e807faccee3ff5a3409b9223bca02e8a301585ca23af7e5ad
儿童,全文,2020,Exercise-Induced Abnormalities of Regional Myocardial Deformation in Anomalous Aortic Origin of the Right Coronary Artery,World Journal for Pediatric and Congenital Heart Surgery,10.1177/2150135120947689,,,https://doi.org/10.1177/2150135120947689,儿童/青少年运动负荷超声研究；各组平均年龄约 13-15 岁。,papers/pediatric/fulltext/2020_Binka_AAORCA_Exercise_Myocardial_Deformation.pdf,8,315491,c09a074e6ec1b926e0c5966bfe605a6000de497a63a9e0f4cbb226d1be96476c
儿童,全文,2020,Recommendations for Multimodality Assessment of Congenital Coronary Anomalies: A Guide from the American Society of Echocardiography,Journal of the American Society of Echocardiography,10.1016/j.echo.2019.10.011,32143778,,https://www.asecho.org/wp-content/uploads/2020/03/ConCoronary_March2020.pdf,ASE 先天性冠状动脉异常多模态影像指南；与 SCAI、JSE 和 SCMR 合作制定；以先天性/儿童影像评估为主要应用场景。,papers/pediatric/fulltext/2020_Frommelt_ASE_Multimodality_Congenital_Coronary_Anomalies_Guideline.pdf,36,7920476,27b1754e3df36de07425affdc6c70bcffc752c3b0e839619621245ac6785501f
儿童,全文,2020,先天性心脏病外科治疗中国专家共识（十二）：先天性冠状动脉异常,中国胸心血管外科临床杂志,10.7507/1007-4848.202008031,,,https://www.biomedeng.cn/article/10.7507/1007-4848.202008031,国家心血管病专家委员会先天性心脏病专业委员会制定；覆盖 AAOCA、冠状动脉异常起源于肺动脉、冠状动脉瘘及相关外科诊疗建议。,papers/pediatric/fulltext/2020_An_Li_Chinese_Expert_Consensus_Congenital_Coronary_Anomalies.pdf,7,635951,8bcae4884a2a48785f4183f7cf638a4afd1692db9248cf8c1fdd6ab259ab9d9c
儿童,全文,2019,Features associated with myocardial ischemia in anomalous aortic origin of a coronary artery: A Congenital Heart Surgeons' Society study,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2019.02.122,,,https://doi.org/10.1016/j.jtcvs.2019.02.122,CHSS 多中心队列；诊断年龄不超过 30 岁，主要归入儿童/青年。,papers/pediatric/fulltext/2019_Jegatheeswaran_CHSS_Ischemia_Features.pdf,16,1206642,29a21e711c7a0b23f6be1b258edc0f7a543e1b74356045b1afb87f71137e6a63
儿童,全文,2019,Perfusion Study Helps in the Management of the Intraseptal Course of an Anomalous Coronary Artery,World Journal for Pediatric and Congenital Heart Surgery,10.1177/2150135119829004,,,https://doi.org/10.1177/2150135119829004,11 岁儿童病例；核素灌注研究用于指导手术。,papers/pediatric/fulltext/2019_Agati_Intraseptal_Anomalous_Coronary_Perfusion_Study.pdf,4,374857,72124f4587eb93bca044f84a8d91c981b9e58de4f9762ca594b1b1ac9ed617bc
儿童,全文,2017,Expert consensus guidelines: Anomalous aortic origin of a coronary artery,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2016.06.066,28274557,,https://doi.org/10.1016/j.jtcvs.2016.06.066,AATS 专家共识；以先天性/儿童及青年管理为主要应用场景。,papers/pediatric/fulltext/2017_Brothers_AATS_AAOCA_Expert_Consensus.pdf,18,1729299,eef7d139c8b6a3406b53789c9252c86446fbb3a5b31fcc01162722577cac51a9
